18,29.5,0.23,1,0
19,15.76,0.12,1,0
20,8.65,0.07,1,0
21,11.65,0.09,1,0
22,3.55,0.03,0,0
23,6.14,0.05,1,0
0,22.32,0.17,1,1
1,41.46,0.32,1,0
2,0.41,0,1,0
3,15.96,0.12,0,0
4,8.79,0.07,1,0
5,0.96,0.01,1,0
6,11.75,0.09,0,0
7,10,0.08,0,1
8,62.02,0.48,0,1
9,117.43,0.91,0,1
10,126.07,0.99,0,0
11,39.29,0.31,1,1
12,76.2,0.6,0,0
13,8.66,0.07,1,0
14,27.5,0.22,0,0
15,3.29,0.03,0,0
17,17.45,0.11,1,0
18,18.3,0.14,1,0
19,19.37,0.15,1,0
20,6.31,0.05,0,0
21,30.81,0.24,0,0
22,12.06,0.09,1,0
23,15.7,0.12,1,0
0,16.39,0.13,0,1
1,59.28,0.47,1,1
2,45.19,0.36,1,0
3,8.43,0.07,1,0
4,1.32,0.01,0,0
5,14.13,0.11,0,0
6,8.56,0.07,0,1
7,68.37,0.54,1,1
8,136.93,1.08,0,0
9,35.83,0.28,1,0
10,15.16,0.12,0,0
11,1.73,0.01,1,0
12,24.03,0.19,1,0
13,20.27,0.1,1,0
14,19.28,0.15,1,0
15,12.57,0.1,0,0
17,9.45,0.07,0,0
18,17.5,0.14,0,1
19,59.05,0.46,0,1
20,73.83,0.58,0,0
21,22.37,0.18,0,0
22,10.98,0.09,0,0
23,1.5,0.01,1,0
0,20.25,0.16,0,0
1,58.02,0.46,0,1
2,53.88,0.43,1,1
3,63.38,0.51,0,1
4,42.19,0.33,1,0
5,33.89,0.27,1,0
6,15.8,0.13,0,0
7,17.55,0.14,1,1
8,62,0.5,1,1
9,99.08,0.78,1,0
10,18,0.14,1,0
11,14.36,0.11,1,0
12,3.69,0.03,0,1
13,86.75,0.68,0,1
14,66.9,0.53,1,1
15,42,0.33,1,0
17,15,0.12,1,0
18,25.94,0.2,1,0
19,38.44,0.3,0,0
20,13.33,0.1,0,0
21,8.1,0.06,0,0
22,16.45,0.13,1,0
23,10.21,0.08,1,0
0,31.6,0.25,0,0
1,31.75,0.25,0,0
2,21.75,0.17,0,0
3,1,0.01,0,0
4,14.1,0.11,1,0
5,14.07,0.11,1,0
6,28.2,0.22,0,0
7,4.8,0.04,1,1
8,127.94,1.01,1,1
9,62.56,0.49,0,0
10,8.54,0.07,1,0
